"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"2","Ttn","E9Q8K5","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">tr|E9Q8K5|E9Q8K5_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"3","Ttn","A0A5K1VVQ1","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">tr|A0A5K1VVQ1|A0A5K1VVQ1_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"4","Myh6","Q02566","Myosin-6 OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=2",">sp|Q02566|MYH6_MOUSE Myosin-6 OS=Mus musculus OX=10090 GN=Myh6 PE=1 SV=2","ENSMUSG00000040752"
"5","Myh7","Q91Z83","Myosin-7 OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1",">sp|Q91Z83|MYH7_MOUSE Myosin-7 OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1","ENSMUSG00000053093"
"6","Ahnak","E9Q616","AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1",">tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1","ENSMUSG00000069833"
"7","Obscn","A2AAJ9","Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3",">sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3","ENSMUSG00000061462"
"8","Obscn","E9QQ96","Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2",">tr|E9QQ96|E9QQ96_MOUSE Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","ENSMUSG00000061462"
"9","Obscn","A0A1W2P6H1","Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2",">tr|A0A1W2P6H1|A0A1W2P6H1_MOUSE Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","ENSMUSG00000061462"
"10","Mybpc3","Q3UIK0","Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1",">tr|Q3UIK0|Q3UIK0_MOUSE Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1","ENSMUSG00000002100"
"11","Plec","Q9QXS1","Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3",">sp|Q9QXS1|PLEC_MOUSE Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3","ENSMUSG00000022565"
"12","Ryr2","E9Q401","Ryanodine receptor 2 OS=Mus musculus OX=10090 GN=Ryr2 PE=1 SV=1",">sp|E9Q401|RYR2_MOUSE Ryanodine receptor 2 OS=Mus musculus OX=10090 GN=Ryr2 PE=1 SV=1","ENSMUSG00000021313"
"13","Dsp","E9Q557","Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1",">sp|E9Q557|DESP_MOUSE Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1","ENSMUSG00000054889"
"14","Sptan1","E9Q447","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=1",">tr|E9Q447|E9Q447_MOUSE Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=1","ENSMUSG00000057738"
"15","Sptan1","P16546","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",">sp|P16546|SPTN1_MOUSE Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4","ENSMUSG00000057738"
"16","Naca","P70670","Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2",">sp|P70670|NACAM_MOUSE Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2","ENSMUSG00000061315"
